7400 words judged, heard by OdyAsh/faster-whisper-base-ar-quran

Share of each group the rule says was NOT said. For the first two lower is
better, they are words that were right; for the slips higher is better.
The second line is how many words are in each group: the two slip columns
rest on few enough words that one word moves them several points.

          rule    cut                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
        out of                        4,023                 1,031                    37                   207                 2,102
the page today                        10.3%                 57.9%                 35.1%                 82.1%                 21.6%
         worst  0.001                  3.0%                 14.6%                 16.2%                 23.7%                  3.2%
         worst  0.005                  4.5%                 23.3%                 21.6%                 33.3%                  6.3%
         worst   0.01                  5.1%                 28.2%                 24.3%                 40.1%                  7.7%
         worst   0.02                  5.8%                 32.8%                 29.7%                 45.9%                  9.4%
         worst   0.05                  6.7%                 38.3%                 29.7%                 56.5%                 11.4%
         worst    0.1                  7.5%                 42.7%                 32.4%                 62.3%                 13.7%
         worst    0.3                  9.1%                 51.0%                 32.4%                 73.4%                 17.3%
         worst    0.5                 10.0%                 56.0%                 35.1%                 80.2%                 19.7%
         worst    0.7                 11.7%                 59.9%                 40.5%                 84.1%                 22.6%
         worst    0.9                 15.0%                 65.9%                 45.9%                 87.9%                 28.2%
 worst-but-one  0.001                  0.5%                  1.3%                  0.0%                  2.4%                  0.2%
 worst-but-one  0.005                  0.7%                  2.9%                  0.0%                  4.3%                  0.5%
 worst-but-one   0.01                  0.8%                  4.5%                  0.0%                  8.2%                  1.0%
 worst-but-one   0.02                  0.8%                  5.8%                  5.4%                 10.6%                  1.1%
 worst-but-one   0.05                  1.2%                  8.1%                  8.1%                 17.4%                  1.8%
 worst-but-one    0.1                  1.6%                 11.4%                  8.1%                 21.3%                  2.3%
 worst-but-one    0.3                  2.2%                 16.6%                 10.8%                 31.4%                  3.5%
 worst-but-one    0.5                  2.6%                 20.8%                 10.8%                 39.1%                  4.6%
 worst-but-one    0.7                  3.1%                 25.3%                 10.8%                 45.4%                  6.0%
 worst-but-one    0.9                  4.7%                 32.1%                 13.5%                 62.3%                  8.8%
          mean  0.001                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean  0.005                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.01                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.02                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.05                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean    0.1                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean    0.3                  0.1%                  0.1%                  0.0%                  0.0%                  0.2%
          mean    0.5                  0.6%                  1.8%                  0.0%                  2.4%                  1.0%
          mean    0.7                  1.8%                 14.5%                  0.0%                 16.9%                  4.4%
          mean    0.9                  9.2%                 53.9%                 32.4%                 78.7%                 19.9%

The bar: at most 3% marked though right, vowel slips still caught 85% of the time.
Nothing clears it by sound alone. Nothing is claimed; the rows are above.


Shown RED by the page: the transcript missed the word and the sound check
is under flag-below. Orange is not counted here; orange accuses nobody.

          rule  flag-below                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
