7485 words judged, heard by OdyAsh/faster-whisper-base-ar-quran

Share of each group the rule says was NOT said. For the first two lower is
better, they are words that were right; for the slips higher is better.
The second line is how many words are in each group: the two slip columns
rest on few enough words that one word moves them several points.

          rule    cut                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
        out of                        4,043                 1,048                    37                   209                 2,148
the page today                         6.9%                  6.6%                 13.5%                 17.7%                  7.1%
         worst  0.001                  3.1%                 15.2%                 16.2%                 23.9%                  3.3%
         worst  0.005                  4.7%                 24.4%                 21.6%                 33.5%                  6.3%
         worst   0.01                  5.3%                 29.7%                 24.3%                 40.2%                  7.7%
         worst   0.02                  6.1%                 34.1%                 29.7%                 45.9%                  9.7%
         worst   0.05                  7.1%                 39.6%                 29.7%                 56.5%                 12.0%
         worst    0.1                  7.9%                 44.0%                 32.4%                 62.2%                 14.3%
         worst    0.3                  9.5%                 52.3%                 32.4%                 73.2%                 18.3%
         worst    0.5                 10.4%                 57.2%                 35.1%                 80.4%                 20.9%
         worst    0.7                 12.0%                 61.1%                 40.5%                 84.2%                 24.0%
         worst    0.9                 15.4%                 66.8%                 45.9%                 88.0%                 29.5%
 worst-but-one  0.001                  0.5%                  1.2%                  0.0%                  2.4%                  0.2%
 worst-but-one  0.005                  0.8%                  3.0%                  0.0%                  4.3%                  0.5%
 worst-but-one   0.01                  0.9%                  4.7%                  0.0%                  8.1%                  0.9%
 worst-but-one   0.02                  1.0%                  5.9%                  5.4%                 10.5%                  1.1%
 worst-but-one   0.05                  1.5%                  8.5%                  8.1%                 17.2%                  1.7%
 worst-but-one    0.1                  1.9%                 11.9%                  8.1%                 21.1%                  2.2%
 worst-but-one    0.3                  2.4%                 17.3%                 10.8%                 31.1%                  3.5%
 worst-but-one    0.5                  2.8%                 21.9%                 10.8%                 38.8%                  4.7%
 worst-but-one    0.7                  3.4%                 26.4%                 10.8%                 45.0%                  6.2%
 worst-but-one    0.9                  5.0%                 33.0%                 13.5%                 62.2%                  9.3%
          mean  0.001                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean  0.005                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.01                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.02                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean   0.05                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean    0.1                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean    0.3                  0.1%                  0.1%                  0.0%                  0.0%                  0.2%
          mean    0.5                  0.8%                  1.7%                  0.0%                  2.4%                  1.0%
          mean    0.7                  2.1%                 15.3%                  0.0%                 16.7%                  4.7%
          mean    0.9                  9.6%                 55.1%                 32.4%                 78.9%                 21.2%

The bar: at most 3% marked though right, vowel slips still caught 85% of the time.
Nothing clears it by sound alone. Nothing is claimed; the rows are above.


Shown RED by the page: the transcript missed the word and the sound check
is under flag-below. Orange is not counted here; orange accuses nobody.

          rule  flag-below                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
         worst       0.001                  0.9%                  2.2%                  0.0%                  4.3%                  0.6%
         worst       0.005                  1.2%                  3.3%                  2.7%                  5.3%                  0.9%
         worst        0.01                  1.4%                  3.6%                  2.7%                  7.7%                  1.3%
         worst        0.02                  1.5%                  4.1%                  2.7%                  9.1%                  1.4%
         worst        0.05                  1.7%                  4.6%                  2.7%                 12.0%                  1.8%
         worst         0.1                  1.8%                  4.9%                  5.4%                 12.0%                  2.1%
         worst         0.3                  2.0%                  5.2%                  5.4%                 15.8%                  2.3%
         worst         0.5                  2.2%                  5.2%                  8.1%                 15.8%                  2.5%
         worst         0.7                  2.3%                  5.4%                  8.1%                 16.3%                  2.7%
         worst         0.9                  2.4%                  5.8%                 10.8%                 16.7%                  3.1%
 worst-but-one       0.001                  0.2%                  0.1%                  0.0%                  1.9%                  0.1%
 worst-but-one       0.005                  0.5%                  0.9%                  0.0%                  2.4%                  0.2%
 worst-but-one        0.01                  0.5%                  1.3%                  0.0%                  2.9%                  0.5%
 worst-but-one        0.02                  0.5%                  1.7%                  0.0%                  4.3%                  0.5%
 worst-but-one        0.05                  0.8%                  2.2%                  0.0%                  6.7%                  0.6%
 worst-but-one         0.1                  1.0%                  2.6%                  0.0%                  7.7%                  0.7%
 worst-but-one         0.3                  1.1%                  3.1%                  0.0%                  8.1%                  0.9%
 worst-but-one         0.5                  1.1%                  3.7%                  0.0%                 10.5%                  1.0%
 worst-but-one         0.7                  1.2%                  4.3%                  0.0%                 11.5%                  1.1%
 worst-but-one         0.9                  1.4%                  4.7%                  2.7%                 12.9%                  1.5%
          mean       0.001                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean       0.005                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.01                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.02                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.05                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean         0.1                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean         0.3                  0.1%                  0.1%                  0.0%                  0.0%                  0.1%
          mean         0.5                  0.6%                  0.8%                  0.0%                  1.9%                  0.4%
          mean         0.7                  1.1%                  3.4%                  0.0%                  5.3%                  1.0%
          mean         0.9                  2.0%                  5.4%                  5.4%                 16.3%                  2.5%


RED as the app shows it, worst-but-one. Words checked by sound: 96.3%

         level  flag-below                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
      beginner         0.3                  1.4%                 14.6%                 10.8%                 28.7%                  2.6%
      standard         0.7                  2.3%                 23.0%                 10.8%                 42.1%                  5.2%
      advanced         0.9                  3.8%                 29.4%                 13.5%                 59.3%                  8.1%
